x,y,h,longitude,latitude
-106.53547638421541,205.22174375893744,0.009999999776482582,123.53649351,41.93994924
-106.026228526221,205.22285322160542,0.03999999910593033,123.53649966,41.93994925
-105.51449651641344,205.22507214694136,0.07000000029802322,123.53650584,41.93994927
-105.00856079076831,205.22950999761323,0.10000000149011612,123.53651195,41.93994931
-104.50759335416882,205.23283838482885,0.12999999523162842,123.536518,41.93994934
-104.00000160427426,205.23283838482885,0.1599999964237213,123.53652413,41.93994934
-103.49903420084618,205.2339478474968,0.1899999976158142,123.53653018,41.93994935
-102.98067784608908,205.2350573101648,0.20000000298023224,123.53653644,41.93994936
-102.46066540199774,205.23616677283275,0.20999999344348907,123.53654272,41.93994937
-101.91663964507256,205.23727623550073,0.20000000298023224,123.53654929,41.93994938
-101.40407960757453,205.23838569816868,0.20000000298023224,123.53655548,41.93994939
-100.8998000077779,205.24060462271632,0.2199999988079071,123.53656157,41.93994941
-100.35329005306947,205.24615193605618,0.27000001072883606,123.53656817,41.93994946
-99.82416903265555,205.2528087112757,0.3100000023841858,123.53657456,41.93994952
-99.31574920829809,205.25502763661163,0.36000001430511475,123.5365807,41.93994954
-98.77006733166947,205.25835602461552,0.4099999964237213,123.53658729,41.93994957
-98.24757072254631,205.26168441183114,0.44999998807907104,123.5365936,41.9399496
-97.71844973710034,205.26612226250302,0.4300000071525574,123.53659999,41.93994964
-97.18104829899092,205.27056011238656,0.3799999952316284,123.53660648,41.93994968
-96.6693163257275,205.27056011238656,0.30000001192092896,123.53661266,41.93994968
-96.15013191490151,205.2727790377225,0.23000000417232513,123.53661893,41.9399497
-95.62680730832075,205.2727790377225,0.15000000596046448,123.53662525,41.9399497
-95.09685833908026,205.2727790377225,0.07000000029802322,123.53663165,41.9399497
-94.56028500835673,205.2727790377225,0.0,123.53663813,41.9399497
-94.0195714810474,205.27056011238656,359.9200134277344,123.53664466,41.93994968
-93.46974943948982,205.26945064971858,359.8399963378906,123.5366513,41.93994967
-92.91578720200188,205.26612226250302,359.7699890136719,123.53665799,41.93994964
-92.35520061580672,205.26168441183114,359.7099914550781,123.53666476,41.9399496
-91.78798965183987,205.25835602461552,359.69000244140625,123.53667161,41.93994957
-91.28371011374281,205.25613709927958,359.6499938964844,123.5366777,41.93994955
-90.73968443125467,205.2516992486077,359.6199951171875,123.53668427,41.93994951
-90.2271244673011,205.24726139872413,359.6000061035156,123.53669046,41.93994947
-89.67233420875071,205.2417140853843,359.57000732421875,123.53669716,41.93994942
-89.1465255203717,205.23727623550073,359.5199890136719,123.53670351,41.93994938
-88.619060739482,205.23283838482885,359.489990234375,123.53670988,41.93994934
-88.04770960057576,205.22507214694136,359.44000244140625,123.53671678,41.93994927
-87.54674226774445,205.2206342970578,359.3999938964844,123.53672283,41.93994923
-87.0043727117922,205.21286805838199,359.3399963378906,123.53672938,41.93994916
-86.49512495117048,205.2062112831625,359.30999755859375,123.53673553,41.9399491
-85.94281884886409,205.19844504527504,359.260009765625,123.5367422,41.93994903
-85.4236345566748,205.19067880738754,359.2099914550781,123.53674847,41.93994896
-84.90196611459076,205.18402203137973,359.1600036621094,123.53675477,41.9399489
-84.33558323972439,205.17625579349223,359.1000061035156,123.53676161,41.93994883
-83.80397827770273,205.1673800929368,359.05999755859375,123.53676803,41.93994875
-83.27071722483225,205.15850439238136,359.010009765625,123.53677447,41.93994867
-82.69108562176102,205.1507381544939,358.95001220703125,123.53678147,41.9399486
-82.14788804783124,205.1396435286025,358.8999938964844,123.53678803,41.9399485
-81.60137827800371,205.12965836537907,358.8399963378906,123.53679463,41.93994841
-81.05072828046994,205.11967320215567,358.7900085449219,123.53680128,41.93994832
-80.53899642259323,205.10857857626428,358.7300109863281,123.53680746,41.93994822
-79.98172207281593,205.0974839503729,358.69000244140625,123.53681419,41.93994812
-79.42030753247161,205.0830609372659,358.69000244140625,123.53682097,41.93994799
-78.8547527377362,205.07085684870657,358.739990234375,123.5368278,41.93994788
-78.33060016854466,205.06198114815112,358.82000732421875,123.53683413,41.9399478
-77.80230739623727,205.05088652225973,358.92999267578125,123.53684051,41.9399477
-77.27153045042908,205.04312028437224,359.07000732421875,123.53684692,41.93994763
-76.73909740070093,205.03646350915272,359.2300109863281,123.53685335,41.93994757
-76.20169607780537,205.02980673393324,359.4100036621094,123.53685984,41.93994751
-75.66346668539424,205.02536888326136,359.6199951171875,123.53686634,41.93994747
-75.12275315681039,205.02093103258946,359.8599853515625,123.53687287,41.93994743
-74.58203957958789,205.02093103258946,0.09000000357627869,123.5368794,41.93994743
-74.0421539902595,205.02647834592932,0.3100000023841858,123.53688592,41.93994748
-73.49895624338727,205.02980673393324,0.5099999904632568,123.53689248,41.93994751
-72.95493040649106,205.03757297182074,0.6299999952316284,123.53689905,41.93994758
-72.40842043530034,205.04533920970817,0.6399999856948853,123.53690565,41.93994765
-71.90745295471403,205.05310544759567,0.6499999761581421,123.5369117,41.93994772
-71.40317331737,205.0586527609355,0.6800000071525574,123.53691779,41.93994777
-70.89972170452515,205.066418998823,0.6899999976158142,123.53692387,41.93994784
-70.39295793226398,205.07196631137452,0.699999988079071,123.53692999,41.93994789
-69.83982358179748,205.08195147459793,0.699999988079071,123.53693667,41.93994798
-69.33140370020337,205.08971771248542,0.699999988079071,123.53694281,41.93994805
-68.81967164910579,205.09637448849324,0.699999988079071,123.53694899,41.93994811
-68.25991296136148,205.1041407263807,0.699999988079071,123.53695575,41.93994818
-67.69767014999685,205.11079750160022,0.6700000166893005,123.53696254,41.93994824
